booking_id,flight_id,customer_id,seat_class,ticket_price,booking_channel,payment_method,baggage_fee,refund_amount
76,1721,697,economy,2500.0,App,NetBanking,499,0.0
77,1639,546,Business,-1000.0,App,Card,799,0.0
78,206,697,economy,,App,Card,NA,0.0
79,571,51,ECONOMY ,6200.0,web site,,NA,
80,660,140,Business,2500.0,Website,NetBanking,799,0.0
81,1503,628,Economy,2500.0,web site,Card,499,
82,1685,165,economy,8000.0,App,,NA,0.0
83,510,359,Economy,4500.0,Travel Agent,Card,NA,0.0
84,1487,758,economy,4500.0,web site,Card,799,500.0
85,23,653,Economy,-1000.0,Travel Agent,UPI,NA,0.0
86,1353,449,Business,2500.0,web site,Card,0,500.0
87,1793,279,Economy,8000.0,Travel Agent,UPI,NA,
88,1199,173,ECONOMY ,6200.0,App,UPI,0,500.0
89,495,681,ECONOMY ,,web site,,0,0.0
90,1772,789,Business,,Travel Agent,NetBanking,799,
91,1366,258,Business,2500.0,Website,UPI,NA,0.0
92,1200,507,economy,-1000.0,web site,NetBanking,0,
93,1149,622,ECONOMY ,-1000.0,web site,UPI,0,0.0
94,1179,98,Economy,4500.0,Travel Agent,,NA,0.0
95,712,663,ECONOMY ,8000.0,Website,,NA,0.0
96,443,581,economy,2500.0,Travel Agent,UPI,799,
97,1643,30,ECONOMY ,6200.0,Travel Agent,NetBanking,799,0.0
98,567,457,Economy,6200.0,web site,NetBanking,499,0.0
99,1144,790,Business,,web site,NetBanking,499,
100,1755,92,Business,6200.0,App,NetBanking,799,0.0
101,1479,93,ECONOMY ,6200.0,web site,Card,NA,0.0
102,543,725,ECONOMY ,6200.0,Travel Agent,,799,0.0
103,346,331,Economy,2500.0,App,NetBanking,799,0.0
104,816,634,Economy,4500.0,Website,UPI,NA,500.0
105,299,734,Business,-1000.0,Travel Agent,,499,
106,213,754,Business,-1000.0,Website,NetBanking,499,
107,1692,42,economy,-1000.0,App,NetBanking,0,
108,460,712,economy,4500.0,App,,499,0.0
109,26,304,economy,2500.0,web site,,NA,0.0
110,845,191,ECONOMY ,,web site,NetBanking,799,500.0
111,884,380,Business,4500.0,Travel Agent,NetBanking,0,0.0
112,659,720,economy,-1000.0,App,UPI,NA,500.0
113,215,619,economy,,Travel Agent,Card,NA,500.0
114,1177,55,ECONOMY ,-1000.0,web site,,NA,0.0
115,351,23,ECONOMY ,-1000.0,Website,NetBanking,NA,0.0
116,131,699,Business,2500.0,Travel Agent,NetBanking,0,
117,883,722,economy,8000.0,App,,799,500.0
118,677,239,ECONOMY ,4500.0,Travel Agent,UPI,0,500.0
119,1204,123,Economy,-1000.0,Website,,499,0.0
120,510,616,economy,4500.0,Website,,0,500.0
121,183,97,ECONOMY ,-1000.0,web site,,NA,
122,284,352,economy,2500.0,Travel Agent,NetBanking,499,
123,517,512,Economy,4500.0,Travel Agent,,499,0.0
124,720,663,Economy,6200.0,web site,UPI,799,0.0
125,1242,63,Economy,,Travel Agent,UPI,499,0.0
126,1084,13,Economy,6200.0,web site,NetBanking,0,500.0
127,1760,72,economy,4500.0,web site,Card,499,500.0
128,199,700,economy,-1000.0,Travel Agent,Card,NA,0.0
129,1040,153,ECONOMY ,2500.0,Website,UPI,799,500.0
130,221,358,economy,-1000.0,App,UPI,NA,0.0
131,1236,159,Business,8000.0,web site,,0,0.0
132,693,253,Business,4500.0,App,,499,
133,86,367,Economy,8000.0,Website,UPI,799,
134,1551,560,economy,6200.0,Travel Agent,Card,NA,0.0
135,600,642,ECONOMY ,8000.0,web site,,0,
136,49,504,Economy,6200.0,web site,,799,
137,1611,790,Business,,Website,UPI,499,0.0
138,629,602,economy,,Travel Agent,UPI,0,0.0
139,621,395,economy,6200.0,Website,,499,500.0
140,1395,716,Economy,4500.0,Website,,499,0.0
141,1460,328,Economy,,App,,499,0.0
142,93,391,economy,,Website,NetBanking,0,0.0
143,1351,339,economy,8000.0,App,NetBanking,NA,0.0
144,320,146,economy,-1000.0,Travel Agent,,799,0.0
145,1800,670,Business,8000.0,Website,,NA,
146,570,195,ECONOMY ,6200.0,Website,,0,
147,264,679,economy,2500.0,Website,UPI,499,
148,137,188,Business,4500.0,Travel Agent,,799,500.0
149,584,584,Business,2500.0,Website,,499,0.0
150,1137,510,economy,4500.0,Website,,NA,0.0
151,229,235,Economy,8000.0,App,UPI,0,0.0
152,893,631,Business,8000.0,App,,0,0.0
153,1574,216,Business,2500.0,Website,Card,799,500.0
154,360,359,ECONOMY ,4500.0,Website,,NA,0.0
155,598,518,Economy,4500.0,App,Card,799,
156,52,452,Economy,4500.0,Travel Agent,Card,499,500.0
157,117,115,Economy,8000.0,Website,Card,799,500.0
158,79,147,Economy,,App,UPI,NA,0.0
159,1153,60,ECONOMY ,-1000.0,Website,Card,0,0.0
160,41,665,ECONOMY ,-1000.0,web site,NetBanking,NA,
161,1533,244,ECONOMY ,-1000.0,Travel Agent,NetBanking,NA,
162,314,466,Business,4500.0,App,NetBanking,499,
163,527,165,Business,,Website,,799,0.0
164,88,471,ECONOMY ,,App,,499,500.0
165,427,416,ECONOMY ,8000.0,web site,,NA,
166,950,373,Business,6200.0,web site,Card,499,0.0
167,445,730,economy,-1000.0,App,NetBanking,NA,
168,768,660,Business,4500.0,web site,Card,NA,0.0
169,1112,668,ECONOMY ,6200.0,web site,UPI,499,0.0
170,692,565,economy,,web site,,499,
171,49,711,economy,8000.0,App,NetBanking,499,
172,1178,203,economy,8000.0,Travel Agent,,499,0.0
173,1562,499,Business,-1000.0,Website,UPI,0,0.0
174,44,9,Economy,6200.0,Website,NetBanking,799,0.0
175,1523,155,economy,6200.0,Website,NetBanking,799,
176,973,347,economy,6200.0,Travel Agent,UPI,499,0.0
177,335,426,Economy,-1000.0,web site,Card,NA,500.0
178,1414,256,Economy,,App,,0,0.0
179,278,391,ECONOMY ,8000.0,web site,Card,0,500.0
180,904,599,economy,8000.0,Website,,799,500.0
181,175,379,Economy,4500.0,App,NetBanking,NA,0.0
182,228,685,economy,,Travel Agent,NetBanking,0,500.0
183,1235,507,Economy,-1000.0,web site,Card,799,500.0
184,394,526,Business,-1000.0,Website,,799,0.0
185,107,665,economy,,Travel Agent,NetBanking,NA,
186,692,42,Business,,web site,UPI,799,0.0
187,268,640,Economy,,Website,NetBanking,NA,0.0
188,963,390,ECONOMY ,2500.0,Travel Agent,,799,500.0
189,1645,525,ECONOMY ,8000.0,Travel Agent,Card,799,500.0
190,1132,198,ECONOMY ,6200.0,Travel Agent,UPI,NA,0.0
191,1650,683,Business,-1000.0,Website,UPI,499,0.0
192,498,77,economy,6200.0,Website,Card,499,0.0
193,1769,78,Economy,,Website,NetBanking,0,0.0
194,1194,642,ECONOMY ,,Travel Agent,UPI,0,0.0
195,1443,143,economy,,Website,Card,0,0.0
196,8,444,economy,4500.0,Website,UPI,NA,500.0
197,1281,543,economy,8000.0,App,,499,
198,590,750,Economy,8000.0,App,UPI,0,0.0
199,405,270,economy,-1000.0,App,UPI,0,0.0
200,384,330,economy,4500.0,web site,NetBanking,NA,500.0
201,447,437,Business,6200.0,App,UPI,799,500.0
202,1545,166,Economy,2500.0,Website,,799,0.0
203,1270,774,ECONOMY ,2500.0,web site,UPI,0,500.0
204,1205,790,Business,,Website,NetBanking,799,
205,734,761,ECONOMY ,6200.0,web site,NetBanking,NA,500.0
206,1119,763,economy,4500.0,App,UPI,799,
207,953,473,Business,8000.0,web site,,NA,0.0
208,291,756,ECONOMY ,8000.0,Website,Card,799,
209,1783,648,economy,8000.0,Travel Agent,UPI,NA,0.0
210,310,608,economy,4500.0,Website,UPI,NA,
211,307,278,Business,4500.0,Website,,NA,0.0
212,622,563,Business,4500.0,App,,NA,
213,892,164,ECONOMY ,,Website,NetBanking,0,0.0
214,663,723,ECONOMY ,-1000.0,Travel Agent,Card,499,
215,1646,222,ECONOMY ,8000.0,Website,NetBanking,499,500.0
216,1292,319,ECONOMY ,-1000.0,Website,Card,799,500.0
217,1485,383,economy,6200.0,web site,UPI,0,
218,758,428,economy,4500.0,Travel Agent,Card,799,
219,1612,288,Business,-1000.0,Travel Agent,Card,499,500.0
220,1601,648,economy,,App,Card,NA,
221,40,321,Economy,8000.0,App,NetBanking,0,
222,948,618,Business,2500.0,web site,,499,500.0
223,1458,147,Business,2500.0,web site,Card,499,0.0
224,671,365,ECONOMY ,-1000.0,App,NetBanking,799,
225,644,620,economy,,App,UPI,799,0.0
226,1507,200,Business,4500.0,web site,,0,500.0
227,535,210,economy,6200.0,Website,UPI,NA,0.0
228,755,477,economy,8000.0,web site,Card,NA,500.0
229,221,281,ECONOMY ,6200.0,App,,799,0.0
230,1202,132,Business,2500.0,Website,UPI,799,
231,756,146,Business,,web site,UPI,NA,500.0
232,811,183,Business,-1000.0,Website,NetBanking,799,0.0
233,1048,58,economy,8000.0,Website,UPI,499,0.0
234,210,536,economy,,App,UPI,799,500.0
235,693,84,ECONOMY ,6200.0,Website,,NA,0.0
236,1075,427,ECONOMY ,,App,UPI,499,
237,326,119,Business,4500.0,App,UPI,0,0.0
238,1317,715,economy,8000.0,Website,UPI,499,0.0
239,313,141,Business,6200.0,web site,,0,500.0
240,1009,25,ECONOMY ,-1000.0,Website,UPI,499,0.0
241,428,236,ECONOMY ,2500.0,Travel Agent,UPI,799,0.0
242,814,218,economy,-1000.0,Website,NetBanking,799,500.0
243,1047,398,economy,4500.0,Travel Agent,NetBanking,499,500.0
244,534,403,Economy,,Travel Agent,,0,
245,1236,668,ECONOMY ,4500.0,App,UPI,0,
246,1648,110,economy,4500.0,Travel Agent,Card,799,500.0
247,950,56,economy,-1000.0,Travel Agent,Card,0,500.0
248,26,222,economy,6200.0,App,,NA,500.0
249,938,401,economy,8000.0,web site,NetBanking,499,0.0
250,1263,110,Economy,2500.0,Website,UPI,799,0.0
251,622,456,ECONOMY ,,App,UPI,0,500.0
252,441,662,economy,8000.0,Travel Agent,UPI,799,
253,1339,23,Business,2500.0,Website,NetBanking,499,500.0
254,936,210,Economy,,Website,,499,0.0
255,231,89,economy,8000.0,Travel Agent,NetBanking,0,
256,130,749,economy,4500.0,Website,,NA,0.0
257,77,510,ECONOMY ,8000.0,web site,Card,0,0.0
258,1345,65,Business,,Travel Agent,,499,500.0
259,50,688,Business,4500.0,App,,0,0.0
260,1789,577,ECONOMY ,-1000.0,web site,Card,0,500.0
261,746,91,Business,8000.0,web site,Card,799,500.0
262,1488,565,economy,6200.0,Travel Agent,,499,
263,763,479,Business,6200.0,App,,NA,500.0
264,885,89,Business,4500.0,Travel Agent,NetBanking,NA,
265,1544,553,economy,2500.0,Travel Agent,Card,799,0.0
266,1744,588,economy,4500.0,web site,UPI,NA,0.0
267,1027,558,Economy,-1000.0,Website,UPI,799,0.0
268,1515,233,Business,8000.0,Website,NetBanking,799,
269,1072,673,ECONOMY ,4500.0,Travel Agent,,0,0.0
270,1312,660,ECONOMY ,4500.0,App,UPI,0,
271,296,74,Business,4500.0,web site,NetBanking,499,0.0
272,1669,196,Economy,2500.0,Website,NetBanking,0,0.0
273,381,795,Economy,2500.0,Travel Agent,,0,
274,733,678,ECONOMY ,2500.0,Travel Agent,NetBanking,NA,500.0
275,427,312,ECONOMY ,-1000.0,web site,UPI,NA,0.0
276,1024,328,Business,2500.0,Travel Agent,,NA,0.0
277,866,706,Business,,web site,UPI,NA,0.0
278,999,778,Economy,8000.0,Travel Agent,UPI,0,0.0
279,1484,733,Economy,8000.0,web site,NetBanking,499,
280,71,331,Business,-1000.0,web site,Card,NA,0.0
281,22,701,economy,-1000.0,Website,,0,0.0
282,949,282,ECONOMY ,-1000.0,Website,NetBanking,0,
283,357,463,Business,4500.0,Website,NetBanking,799,
284,225,704,economy,2500.0,App,,NA,0.0
285,12,397,economy,8000.0,Website,NetBanking,499,0.0
286,697,700,ECONOMY ,4500.0,web site,UPI,0,0.0
287,286,136,Economy,8000.0,web site,NetBanking,NA,0.0
288,1451,538,Business,,Website,,NA,0.0
289,572,447,ECONOMY ,2500.0,Website,UPI,799,500.0
290,973,411,economy,4500.0,Website,UPI,499,0.0
291,1169,192,economy,8000.0,Travel Agent,NetBanking,NA,0.0
292,1618,673,economy,-1000.0,web site,UPI,0,0.0
293,415,151,Business,4500.0,web site,UPI,799,0.0
294,1045,13,Economy,-1000.0,Travel Agent,UPI,799,0.0
295,655,250,ECONOMY ,4500.0,App,,NA,
296,439,102,economy,8000.0,Website,Card,499,0.0
297,1764,779,Economy,8000.0,Website,Card,499,
298,1720,641,Business,4500.0,Travel Agent,,0,
299,88,329,ECONOMY ,2500.0,App,NetBanking,NA,
300,1242,231,economy,8000.0,web site,Card,499,500.0
301,1019,792,Economy,8000.0,Website,,0,0.0
302,1443,796,economy,,Website,NetBanking,799,
303,576,476,Business,6200.0,Travel Agent,NetBanking,NA,
304,791,776,economy,8000.0,Travel Agent,UPI,NA,500.0
305,1092,530,Economy,6200.0,Travel Agent,NetBanking,799,0.0
306,642,332,economy,-1000.0,App,NetBanking,799,0.0
307,1692,344,ECONOMY ,6200.0,Travel Agent,,499,0.0
308,1643,789,Business,4500.0,Travel Agent,NetBanking,499,
309,1192,533,economy,2500.0,Travel Agent,Card,499,500.0
310,375,664,ECONOMY ,6200.0,App,,NA,500.0
311,1164,471,Business,4500.0,Travel Agent,UPI,799,0.0
312,772,564,ECONOMY ,2500.0,Website,Card,799,
313,932,564,Business,-1000.0,web site,Card,799,0.0
314,876,644,ECONOMY ,-1000.0,Website,,NA,
315,642,123,economy,4500.0,Website,NetBanking,0,0.0
316,1736,72,Business,2500.0,Travel Agent,Card,0,
317,420,41,Economy,2500.0,Website,NetBanking,799,500.0
318,881,247,economy,4500.0,Travel Agent,NetBanking,499,0.0
319,48,567,Business,4500.0,App,,499,0.0
320,329,94,Business,8000.0,Website,UPI,499,
321,453,248,ECONOMY ,-1000.0,App,Card,499,500.0
322,220,4,economy,,Travel Agent,,NA,
323,438,238,Economy,2500.0,web site,,NA,0.0
324,1514,394,ECONOMY ,2500.0,Travel Agent,Card,NA,
325,1618,537,Business,6200.0,Website,,NA,
326,1243,211,Business,4500.0,Website,,499,
327,425,224,Business,6200.0,web site,NetBanking,499,500.0
328,473,389,ECONOMY ,2500.0,App,UPI,NA,0.0
329,797,586,Business,6200.0,web site,UPI,NA,
330,1484,457,ECONOMY ,2500.0,web site,NetBanking,799,0.0
331,552,376,Business,8000.0,App,Card,499,0.0
332,1733,38,ECONOMY ,6200.0,Website,Card,0,0.0
333,190,631,Economy,6200.0,Website,NetBanking,NA,0.0
334,601,146,ECONOMY ,6200.0,App,Card,NA,500.0
335,342,534,Economy,4500.0,Website,UPI,499,500.0
336,1123,482,ECONOMY ,4500.0,App,UPI,499,0.0
337,138,792,Economy,6200.0,App,UPI,NA,500.0
338,1482,184,economy,-1000.0,App,Card,0,500.0
339,1752,176,Business,-1000.0,Website,UPI,NA,0.0
340,343,50,ECONOMY ,4500.0,App,Card,799,500.0
341,948,252,ECONOMY ,4500.0,Website,Card,499,0.0
342,138,387,economy,2500.0,Travel Agent,,NA,
343,1128,555,ECONOMY ,-1000.0,web site,NetBanking,NA,500.0
344,1073,418,economy,-1000.0,web site,Card,0,0.0
345,151,615,Business,6200.0,Website,,NA,
346,614,383,Economy,6200.0,web site,Card,0,0.0
347,892,794,economy,8000.0,App,NetBanking,NA,0.0
348,292,17,economy,8000.0,Travel Agent,,NA,
349,1460,477,Business,4500.0,web site,Card,NA,0.0
350,503,150,Economy,6200.0,Travel Agent,UPI,799,
351,792,670,ECONOMY ,2500.0,Travel Agent,NetBanking,NA,0.0
352,1779,491,Economy,6200.0,Travel Agent,Card,799,0.0
353,23,104,economy,,Travel Agent,UPI,0,0.0
354,1292,534,Business,2500.0,web site,,799,
355,711,637,Business,6200.0,Travel Agent,UPI,0,
356,1554,500,ECONOMY ,-1000.0,Website,UPI,499,
357,677,677,ECONOMY ,,Travel Agent,Card,499,0.0
358,191,632,ECONOMY ,6200.0,web site,Card,0,0.0
359,621,13,economy,4500.0,web site,Card,NA,0.0
360,875,561,Business,4500.0,Website,UPI,499,0.0
361,544,745,ECONOMY ,2500.0,App,,499,
362,234,82,ECONOMY ,6200.0,Travel Agent,,799,500.0
363,1294,681,Business,-1000.0,App,NetBanking,499,0.0
364,1669,23,ECONOMY ,8000.0,Travel Agent,NetBanking,799,
365,1484,415,Economy,-1000.0,Travel Agent,NetBanking,0,0.0
366,1137,229,economy,4500.0,web site,Card,0,500.0
367,846,761,ECONOMY ,8000.0,Travel Agent,NetBanking,0,0.0
368,333,639,ECONOMY ,,Website,NetBanking,0,
369,832,443,economy,8000.0,web site,UPI,799,500.0
370,243,316,economy,8000.0,web site,,499,
371,881,241,Business,4500.0,App,NetBanking,499,500.0
372,1216,386,Economy,2500.0,Website,UPI,0,0.0
373,1107,439,ECONOMY ,2500.0,App,UPI,0,
374,364,34,economy,6200.0,Travel Agent,NetBanking,0,0.0
375,339,318,Business,2500.0,Website,UPI,0,0.0
376,1683,197,economy,8000.0,web site,UPI,799,500.0
377,1261,539,Economy,-1000.0,Travel Agent,Card,0,
378,1242,267,economy,,Website,,499,500.0
379,66,403,Business,,App,,NA,500.0
380,1043,314,Business,,web site,,499,500.0
381,1365,335,economy,4500.0,web site,Card,499,0.0
382,163,61,Economy,4500.0,Website,,499,0.0
383,1481,76,Business,6200.0,Travel Agent,Card,NA,
384,840,126,Business,,App,,0,500.0
385,321,401,economy,6200.0,Website,UPI,0,500.0
386,798,192,ECONOMY ,8000.0,web site,NetBanking,NA,0.0
387,1671,335,ECONOMY ,,Travel Agent,Card,0,0.0
388,514,426,Economy,8000.0,Travel Agent,Card,0,0.0
389,492,526,ECONOMY ,6200.0,App,Card,NA,0.0
390,1579,10,Business,,Travel Agent,NetBanking,799,0.0
391,215,495,economy,4500.0,App,NetBanking,799,
392,1083,605,economy,8000.0,Website,,799,
393,92,292,Business,2500.0,web site,UPI,NA,
394,950,624,economy,6200.0,App,,799,500.0
395,1336,40,economy,,Travel Agent,,799,0.0
396,1087,235,Economy,4500.0,web site,Card,NA,0.0
397,881,49,Economy,6200.0,web site,UPI,799,0.0
398,1018,595,economy,-1000.0,Travel Agent,UPI,499,
399,1149,744,Business,4500.0,App,UPI,NA,0.0
400,674,663,economy,8000.0,Website,UPI,499,500.0
401,347,674,Business,,Travel Agent,,499,
402,418,747,economy,6200.0,Website,NetBanking,799,0.0
403,157,160,Economy,2500.0,App,UPI,799,0.0
404,233,784,ECONOMY ,6200.0,Website,,0,
405,1369,630,Business,2500.0,Travel Agent,UPI,799,0.0
406,795,194,Business,,Website,UPI,0,0.0
407,299,351,economy,-1000.0,App,,799,0.0
408,697,399,ECONOMY ,2500.0,web site,Card,499,0.0
409,1272,653,ECONOMY ,-1000.0,Website,Card,NA,
410,794,330,Business,4500.0,Website,UPI,NA,0.0
411,8,585,Business,2500.0,Travel Agent,NetBanking,NA,0.0
412,646,475,Economy,4500.0,Website,UPI,499,
413,1013,567,Business,2500.0,Website,NetBanking,499,500.0
414,1100,436,Business,2500.0,Website,UPI,799,0.0
415,1426,265,ECONOMY ,4500.0,Travel Agent,NetBanking,NA,0.0
416,1088,373,Economy,8000.0,Travel Agent,NetBanking,NA,0.0
417,54,292,Business,4500.0,Website,Card,0,500.0
418,233,98,Business,6200.0,Travel Agent,UPI,499,0.0
419,1193,81,economy,2500.0,Travel Agent,NetBanking,0,500.0
420,1132,674,Business,2500.0,web site,UPI,799,
421,191,674,Business,6200.0,Website,Card,0,0.0
422,1205,5,Economy,8000.0,Website,,799,
423,1110,110,Business,4500.0,App,UPI,799,0.0
424,380,665,Economy,,Website,,499,0.0
425,347,756,economy,8000.0,Website,NetBanking,499,
426,1122,244,Economy,8000.0,App,,499,500.0
427,706,140,ECONOMY ,-1000.0,web site,NetBanking,799,0.0
428,1263,128,ECONOMY ,6200.0,web site,UPI,0,
429,1210,196,Business,,App,Card,0,0.0
430,272,729,Economy,4500.0,App,UPI,0,
431,273,224,Business,2500.0,Website,Card,0,0.0
432,847,110,Business,4500.0,web site,Card,499,0.0
433,1780,378,Business,8000.0,web site,NetBanking,NA,0.0
434,1757,651,economy,4500.0,web site,NetBanking,499,0.0
435,1004,501,Business,8000.0,Website,NetBanking,0,
436,950,163,Economy,2500.0,web site,NetBanking,499,
437,227,295,economy,6200.0,Travel Agent,Card,NA,0.0
438,970,781,Economy,-1000.0,web site,NetBanking,799,0.0
439,921,206,Business,8000.0,web site,NetBanking,499,
440,452,449,economy,2500.0,App,,NA,0.0
441,1130,522,economy,2500.0,Travel Agent,NetBanking,799,0.0
442,557,675,Business,,web site,UPI,0,0.0
443,495,290,Business,4500.0,App,,0,0.0
444,41,336,ECONOMY ,-1000.0,Travel Agent,UPI,NA,0.0
445,384,112,Business,,web site,NetBanking,799,0.0
446,1288,412,Business,2500.0,web site,,499,0.0
447,666,47,Business,6200.0,web site,Card,799,
448,467,442,Economy,,Website,UPI,499,0.0
449,842,45,economy,8000.0,web site,UPI,0,
450,1472,139,economy,,App,Card,799,0.0
451,75,263,Economy,-1000.0,web site,UPI,799,
452,429,96,Business,4500.0,Website,UPI,799,0.0
453,91,488,Business,-1000.0,App,UPI,NA,0.0
454,1630,422,Business,2500.0,Website,Card,799,0.0
455,875,714,Business,6200.0,web site,Card,0,0.0
456,1285,586,Economy,,Travel Agent,Card,499,0.0
457,480,756,Economy,,App,Card,499,0.0
458,272,303,ECONOMY ,2500.0,web site,Card,499,0.0
459,242,744,economy,6200.0,Travel Agent,,499,0.0
460,1708,163,ECONOMY ,8000.0,Website,Card,799,0.0
461,1092,180,ECONOMY ,2500.0,Website,Card,499,0.0
462,315,426,Economy,8000.0,App,Card,799,500.0
463,928,162,economy,8000.0,web site,Card,NA,500.0
464,647,267,economy,,Website,Card,NA,500.0
465,770,792,ECONOMY ,2500.0,Website,Card,0,0.0
466,1510,718,Economy,-1000.0,web site,,499,0.0
467,1061,185,economy,4500.0,App,UPI,0,0.0
468,1104,566,Economy,6200.0,Website,NetBanking,799,500.0
469,1125,140,economy,2500.0,web site,,499,0.0
470,1645,226,Economy,-1000.0,App,,0,
471,1477,650,Economy,,Travel Agent,,499,500.0
472,1736,346,Economy,2500.0,Website,UPI,0,0.0
473,172,331,economy,,Website,UPI,499,
474,1650,101,ECONOMY ,-1000.0,Travel Agent,UPI,0,0.0
475,724,321,ECONOMY ,,Website,NetBanking,799,500.0
476,327,88,economy,-1000.0,web site,NetBanking,NA,0.0
477,309,180,Business,-1000.0,Website,NetBanking,NA,
478,83,520,ECONOMY ,8000.0,Website,UPI,0,0.0
479,1356,268,economy,8000.0,Travel Agent,NetBanking,0,500.0
480,1483,529,Business,-1000.0,App,,NA,0.0
481,483,423,economy,6200.0,App,NetBanking,799,0.0
482,750,318,economy,-1000.0,web site,UPI,0,
483,109,417,economy,4500.0,web site,,799,0.0
484,1582,640,economy,4500.0,Website,UPI,799,0.0
485,251,402,Business,-1000.0,Website,UPI,799,500.0
486,1756,660,economy,-1000.0,web site,,499,0.0
487,775,736,economy,-1000.0,Website,,799,0.0
488,318,690,Economy,4500.0,web site,NetBanking,499,500.0
489,835,305,economy,2500.0,App,,499,500.0
490,1480,743,ECONOMY ,4500.0,Website,NetBanking,799,0.0
491,947,42,ECONOMY ,6200.0,web site,Card,799,500.0
492,1552,298,Economy,4500.0,web site,Card,799,500.0
493,1114,700,economy,6200.0,App,UPI,0,
494,773,316,ECONOMY ,6200.0,Travel Agent,UPI,499,0.0
495,755,248,economy,6200.0,Travel Agent,Card,NA,0.0
